,LAT,LON,YEAR,DOY,T2M,QV2M,GWETROOT,PRECTOTCORR
45,20.0,74.375,2024,214,25.68,18.38,0.82,5.28
46,20.0,75.0,2024,214,26.32,18.3,0.75,4.95
47,20.0,75.625,2024,214,26.06,18.54,0.8,6.33
48,20.0,76.25,2024,214,26.07,18.89,0.85,7.6
49,20.0,76.875,2024,214,26.2,19.36,0.89,12.24
50,20.0,77.5,2024,214,26.4,19.88,0.92,20.15
51,20.0,78.125,2024,214,26.85,20.27,0.9,19.12
52,20.0,78.75,2024,214,26.82,20.63,0.97,20.23
53,20.0,79.375,2024,214,26.86,20.84,1.0,16.83
54,20.0,80.0,2024,214,26.58,20.71,1.0,17.19
55,18.0,73.75,2024,215,23.73,18.62,1.0,32.98
56,18.0,74.375,2024,215,24.13,17.95,0.93,13.15
57,18.0,75.0,2024,215,25.8,17.54,0.76,2.8
58,18.0,75.625,2024,215,26.16,17.45,0.74,1.21
59,18.0,76.25,2024,215,25.58,17.49,0.77,1.72
60,18.0,76.875,2024,215,25.3,17.66,0.78,4.05
61,18.0,77.5,2024,215,25.37,17.95,0.78,8.65
62,18.0,78.125,2024,215,25.5,18.33,0.68,8.32
63,18.0,78.75,2024,215,25.42,18.55,0.72,8.11
64,18.0,79.375,2024,215,26.24,19.12,0.77,6.84
65,18.0,80.0,2024,215,26.44,19.77,0.89,13.89
66,18.5,73.75,2024,215,23.55,18.53,0.99,28.65
67,18.5,74.375,2024,215,24.34,18.09,0.9,10.16
68,18.5,75.0,2024,215,25.4,17.59,0.74,2.23
69,18.5,75.625,2024,215,25.63,17.35,0.72,1.25
70,18.5,76.25,2024,215,25.63,17.39,0.75,1.87
71,18.5,76.875,2024,215,25.67,17.72,0.79,4.45
72,18.5,77.5,2024,215,25.88,18.3,0.84,9.23
73,18.5,78.125,2024,215,25.73,18.84,0.81,10.16
74,18.5,78.75,2024,215,25.69,19.19,0.86,10.21
75,18.5,79.375,2024,215,26.31,19.68,0.9,11.03
76,18.5,80.0,2024,215,26.4,20.15,0.97,19.94
77,19.0,73.75,2024,215,23.8,18.74,0.99,26.78
78,19.0,74.375,2024,215,24.11,18.04,0.87,9.86
79,19.0,75.0,2024,215,25.26,17.63,0.73,2.8
80,19.0,75.625,2024,215,25.98,17.46,0.72,2.11
81,19.0,76.25,2024,215,26.28,17.64,0.75,2.56
82,19.0,76.875,2024,215,26.15,18.08,0.82,4.81
83,19.0,77.5,2024,215,26.0,18.62,0.86,8.39
84,19.0,78.125,2024,215,25.84,19.05,0.89,9.42
85,19.0,78.75,2024,215,25.88,19.49,0.94,11.56
86,19.0,79.375,2024,215,26.39,20.04,0.98,15.85
87,19.0,80.0,2024,215,26.55,20.45,1.0,23.98
88,19.5,73.75,2024,215,23.98,18.91,0.98,25.69
89,19.5,74.375,2024,215,24.32,18.18,0.85,10.28
90,19.5,75.0,2024,215,25.47,17.87,0.74,4.01
91,19.5,75.625,2024,215,26.15,17.83,0.74,3.6
92,19.5,76.25,2024,215,26.31,18.06,0.79,3.82
93,19.5,76.875,2024,215,25.94,18.51,0.86,5.73
94,19.5,77.5,2024,215,25.68,18.95,0.87,8.69
95,19.5,78.125,2024,215,25.89,19.27,0.89,8.9
96,19.5,78.75,2024,215,26.03,19.71,0.94,13.9
97,19.5,79.375,2024,215,26.42,20.26,0.99,20.41
98,19.5,80.0,2024,215,26.62,20.61,1.0,25.86
99,20.0,73.75,2024,215,24.1,18.92,0.97,22.93
100,20.0,74.375,2024,215,24.75,18.36,0.83,9.87
101,20.0,75.0,2024,215,25.36,18.13,0.76,5.35
102,20.0,75.625,2024,215,25.36,18.11,0.8,5.41
103,20.0,76.25,2024,215,25.56,18.31,0.85,5.27
104,20.0,76.875,2024,215,25.58,18.81,0.9,7.36
105,20.0,77.5,2024,215,25.58,19.3,0.93,10.78
106,20.0,78.125,2024,215,26.07,19.71,0.92,10.3
107,20.0,78.75,2024,215,26.35,20.18,0.98,16.17
108,20.0,79.375,2024,215,26.62,20.56,1.0,20.97
109,20.0,80.0,2024,215,26.52,20.61,1.0,23.67
110,18.0,73.75,2024,216,23.48,18.39,1.0,46.83
111,18.0,74.375,2024,216,23.89,17.7,0.93,14.56
112,18.0,75.0,2024,216,25.57,17.26,0.76,2.09
113,18.0,75.625,2024,216,25.99,17.16,0.73,0.52
114,18.0,76.25,2024,216,25.53,17.27,0.76,0.65
115,18.0,76.875,2024,216,25.41,17.44,0.78,0.87
116,18.0,77.5,2024,216,25.45,17.68,0.78,1.99
117,18.0,78.125,2024,216,25.64,17.94,0.68,2.21
118,18.0,78.75,2024,216,25.86,18.15,0.72,2.53
119,18.0,79.375,2024,216,26.96,18.79,0.76,1.55
120,18.0,80.0,2024,216,27.21,19.54,0.89,1.4
121,18.5,73.75,2024,216,23.25,18.27,0.99,61.46
122,18.5,74.375,2024,216,23.98,17.85,0.9,16.56
123,18.5,75.0,2024,216,24.95,17.32,0.74,2.57
124,18.5,75.625,2024,216,25.01,17.12,0.72,0.96
125,18.5,76.25,2024,216,25.04,17.27,0.75,1.2
126,18.5,76.875,2024,216,25.42,17.62,0.79,1.5
127,18.5,77.5,2024,216,25.88,18.09,0.84,2.03
128,18.5,78.125,2024,216,25.8,18.44,0.81,2.75
129,18.5,78.75,2024,216,25.85,18.77,0.87,3.03
130,18.5,79.375,2024,216,26.64,19.35,0.9,2.51
131,18.5,80.0,2024,216,26.83,19.86,0.97,2.65
132,19.0,73.75,2024,216,23.43,18.43,0.99,77.7
133,19.0,74.375,2024,216,23.65,17.8,0.88,23.4
134,19.0,75.0,2024,216,24.66,17.38,0.73,4.57
135,19.0,75.625,2024,216,25.12,17.25,0.71,2.38
136,19.0,76.25,2024,216,25.44,17.47,0.75,2.48
137,19.0,76.875,2024,216,25.65,17.96,0.82,2.75
138,19.0,77.5,2024,216,25.87,18.4,0.85,2.63
139,19.0,78.125,2024,216,25.87,18.66,0.89,3.26
140,19.0,78.75,2024,216,25.9,19.06,0.93,3.26
141,19.0,79.375,2024,216,26.37,19.7,0.98,3.43
142,19.0,80.0,2024,216,26.57,20.08,1.0,4.27
143,19.5,73.75,2024,216,23.52,18.56,0.98,79.45
144,19.5,74.375,2024,216,23.8,17.93,0.86,27.51
145,19.5,75.0,2024,216,24.88,17.61,0.74,6.94
146,19.5,75.625,2024,216,25.32,17.6,0.74,4.41
147,19.5,76.25,2024,216,25.46,17.85,0.79,4.3
148,19.5,76.875,2024,216,25.35,18.27,0.85,4.54
149,19.5,77.5,2024,216,25.36,18.54,0.87,4.0
150,19.5,78.125,2024,216,25.71,18.79,0.88,4.37
151,19.5,78.75,2024,216,25.8,19.15,0.93,4.15
152,19.5,79.375,2024,216,26.06,19.76,0.99,5.02
153,19.5,80.0,2024,216,26.24,20.09,1.0,7.02
154,20.0,73.75,2024,216,23.57,18.68,0.98,63.13
155,20.0,74.375,2024,216,24.14,18.24,0.84,24.56
156,20.0,75.0,2024,216,24.78,17.97,0.76,8.28
157,20.0,75.625,2024,216,24.65,17.93,0.8,6.16
158,20.0,76.25,2024,216,24.74,18.12,0.86,5.54
159,20.0,76.875,2024,216,24.92,18.48,0.9,6.25
160,20.0,77.5,2024,216,25.19,18.77,0.93,5.86
161,20.0,78.125,2024,216,25.78,19.1,0.91,6.0
162,20.0,78.75,2024,216,25.85,19.52,0.98,6.03
163,20.0,79.375,2024,216,25.99,19.94,1.0,7.78
164,20.0,80.0,2024,216,25.85,20.03,1.0,12.28
165,18.0,73.75,2024,217,23.37,18.38,1.0,36.27
166,18.0,74.375,2024,217,23.49,17.62,0.93,15.78
167,18.0,75.0,2024,217,24.88,17.26,0.76,3.12
168,18.0,75.625,2024,217,25.14,17.23,0.73,1.01
169,18.0,76.25,2024,217,24.72,17.21,0.76,0.48
170,18.0,76.875,2024,217,24.76,17.28,0.77,0.46
171,18.0,77.5,2024,217,25.06,17.52,0.78,0.64
172,18.0,78.125,2024,217,25.27,17.8,0.67,0.57
173,18.0,78.75,2024,217,25.43,18.05,0.71,0.88
174,18.0,79.375,2024,217,26.51,18.72,0.76,1.08
175,18.0,80.0,2024,217,26.79,19.43,0.88,0.88
176,18.5,73.75,2024,217,23.29,18.35,1.0,38.81
177,18.5,74.375,2024,217,23.92,17.94,0.91,15.76
178,18.5,75.0,2024,217,24.79,17.42,0.74,3.53
179,18.5,75.625,2024,217,24.77,17.23,0.72,1.45
180,18.5,76.25,2024,217,24.79,17.27,0.74,0.98
181,18.5,76.875,2024,217,25.13,17.52,0.79,1.26
182,18.5,77.5,2024,217,25.66,18.02,0.83,2.15
183,18.5,78.125,2024,217,25.63,18.43,0.8,1.8
184,18.5,78.75,2024,217,25.83,18.77,0.86,2.71
185,18.5,79.375,2024,217,26.69,19.34,0.89,2.98
186,18.5,80.0,2024,217,26.81,19.83,0.96,2.51
187,19.0,73.75,2024,217,23.51,18.53,0.99,44.05
188,19.0,74.375,2024,217,23.79,17.91,0.9,17.57
189,19.0,75.0,2024,217,24.85,17.48,0.74,4.36
190,19.0,75.625,2024,217,25.3,17.41,0.71,2.21
191,19.0,76.25,2024,217,25.6,17.66,0.75,1.91
192,19.0,76.875,2024,217,25.79,18.06,0.82,2.74
193,19.0,77.5,2024,217,25.93,18.51,0.85,4.74
194,19.0,78.125,2024,217,25.86,18.87,0.89,4.19
195,19.0,78.75,2024,217,26.08,19.24,0.93,5.62
196,19.0,79.375,2024,217,26.71,19.78,0.97,5.25
197,19.0,80.0,2024,217,26.83,20.1,0.99,4.59
198,19.5,73.75,2024,217,23.53,18.57,0.99,60.03
199,19.5,74.375,2024,217,23.86,17.97,0.89,23.44
200,19.5,75.0,2024,217,24.93,17.69,0.75,6.46
201,19.5,75.625,2024,217,25.36,17.77,0.74,4.28
202,19.5,76.25,2024,217,25.56,18.09,0.8,4.58
203,19.5,76.875,2024,217,25.52,18.46,0.86,5.66
204,19.5,77.5,2024,217,25.58,18.76,0.87,7.58
205,19.5,78.125,2024,217,25.91,19.12,0.88,7.68
206,19.5,78.75,2024,217,26.15,19.52,0.93,8.26
207,19.5,79.375,2024,217,26.56,19.99,0.99,6.68
208,19.5,80.0,2024,217,26.73,20.23,0.99,6.41
209,20.0,73.75,2024,217,23.43,18.52,0.99,74.55
210,20.0,74.375,2024,217,23.99,18.18,0.87,28.51
211,20.0,75.0,2024,217,24.58,17.96,0.78,10.42
212,20.0,75.625,2024,217,24.43,17.99,0.81,9.45
213,20.0,76.25,2024,217,24.63,18.23,0.87,10.29
214,20.0,76.875,2024,217,24.82,18.62,0.91,10.62
215,20.0,77.5,2024,217,25.13,18.98,0.93,9.88
216,20.0,78.125,2024,217,25.86,19.42,0.92,11.34
217,20.0,78.75,2024,217,26.21,19.9,0.98,9.47
218,20.0,79.375,2024,217,26.52,20.19,1.0,7.29
219,20.0,80.0,2024,217,26.42,20.25,1.0,7.41
220,18.0,73.75,2024,218,23.71,18.3,1.0,17.46
221,18.0,74.375,2024,218,24.01,17.61,0.93,7.19
222,18.0,75.0,2024,218,25.64,17.29,0.76,4.69
223,18.0,75.625,2024,218,25.95,17.36,0.73,9.6
224,18.0,76.25,2024,218,25.41,17.46,0.76,10.44
225,18.0,76.875,2024,218,25.25,17.6,0.77,7.08
226,18.0,77.5,2024,218,25.47,17.77,0.77,7.19
227,18.0,78.125,2024,218,25.75,17.95,0.67,6.06
228,18.0,78.75,2024,218,26.0,18.18,0.71,4.34
229,18.0,79.375,2024,218,27.1,18.87,0.75,3.84
230,18.0,80.0,2024,218,27.34,19.51,0.87,4.46
231,18.5,73.75,2024,218,23.56,18.16,1.0,17.23
232,18.5,74.375,2024,218,24.41,17.73,0.91,5.89
233,18.5,75.0,2024,218,25.51,17.26,0.74,2.58
234,18.5,75.625,2024,218,25.61,17.14,0.72,5.53
235,18.5,76.25,2024,218,25.48,17.33,0.74,6.91
236,18.5,76.875,2024,218,25.67,17.74,0.78,5.27
237,18.5,77.5,2024,218,26.12,18.22,0.83,5.92
238,18.5,78.125,2024,218,26.07,18.5,0.8,5.08
239,18.5,78.75,2024,218,26.22,18.77,0.85,4.53
240,18.5,79.375,2024,218,27.07,19.31,0.88,3.96
241,18.5,80.0,2024,218,27.22,19.78,0.95,4.17
242,19.0,73.75,2024,218,23.84,18.38,0.99,16.76
243,19.0,74.375,2024,218,24.3,17.71,0.9,5.21
244,19.0,75.0,2024,218,25.54,17.27,0.74,1.32
245,19.0,75.625,2024,218,26.07,17.25,0.71,2.34
246,19.0,76.25,2024,218,26.29,17.61,0.74,3.19
247,19.0,76.875,2024,218,26.44,18.16,0.81,2.79
248,19.0,77.5,2024,218,26.57,18.65,0.85,3.82
249,19.0,78.125,2024,218,26.49,18.9,0.88,3.7
250,19.0,78.75,2024,218,26.58,19.18,0.92,3.39
251,19.0,79.375,2024,218,27.12,19.71,0.97,2.64
252,19.0,80.0,2024,218,27.27,19.98,0.98,2.68
253,19.5,73.75,2024,218,23.98,18.47,0.99,15.07
254,19.5,74.375,2024,218,24.56,17.77,0.89,4.34
255,19.5,75.0,2024,218,25.83,17.49,0.74,0.94
256,19.5,75.625,2024,218,26.38,17.61,0.74,1.51
257,19.5,76.25,2024,218,26.56,18.04,0.79,1.94
258,19.5,76.875,2024,218,26.53,18.56,0.85,1.41
259,19.5,77.5,2024,218,26.57,18.96,0.87,1.75
260,19.5,78.125,2024,218,26.83,19.25,0.88,2.08
261,19.5,78.75,2024,218,26.88,19.54,0.93,1.66
262,19.5,79.375,2024,218,27.16,19.96,0.98,1.28
263,19.5,80.0,2024,218,27.25,20.06,0.99,1.47
264,20.0,73.75,2024,218,23.95,18.39,0.99,11.99
265,20.0,74.375,2024,218,24.93,17.83,0.88,3.19
266,20.0,75.0,2024,218,25.76,17.69,0.77,1.14
267,20.0,75.625,2024,218,25.74,17.88,0.81,2.41
268,20.0,76.25,2024,218,25.93,18.28,0.86,2.74
269,20.0,76.875,2024,218,26.18,18.81,0.9,1.41
270,20.0,77.5,2024,218,26.54,19.28,0.93,0.96
271,20.0,78.125,2024,218,27.19,19.68,0.91,1.07
272,20.0,78.75,2024,218,27.31,20.06,0.98,0.89
273,20.0,79.375,2024,218,27.4,20.27,0.99,1.02
274,20.0,80.0,2024,218,27.09,20.12,0.99,1.31
275,18.0,73.75,2024,219,23.72,18.17,1.0,10.95
276,18.0,74.375,2024,219,24.01,17.5,0.93,3.62
277,18.0,75.0,2024,219,25.51,17.23,0.76,3.8
278,18.0,75.625,2024,219,25.79,17.39,0.75,8.31
279,18.0,76.25,2024,219,25.39,17.57,0.77,8.79
280,18.0,76.875,2024,219,25.37,17.77,0.78,5.81
281,18.0,77.5,2024,219,25.45,18.08,0.78,6.24
282,18.0,78.125,2024,219,25.38,18.36,0.68,6.26
283,18.0,78.75,2024,219,25.33,18.61,0.72,12.77
284,18.0,79.375,2024,219,26.08,19.27,0.78,29.37
285,18.0,80.0,2024,219,26.26,19.88,0.9,49.81
286,18.5,73.75,2024,219,23.6,18.01,1.0,11.41
287,18.5,74.375,2024,219,24.48,17.61,0.91,2.8
288,18.5,75.0,2024,219,25.61,17.14,0.74,1.92
289,18.5,75.625,2024,219,25.68,17.07,0.73,4.5
290,18.5,76.25,2024,219,25.57,17.39,0.75,5.46
291,18.5,76.875,2024,219,25.82,17.91,0.79,4.36
292,18.5,77.5,2024,219,26.16,18.49,0.83,4.88
293,18.5,78.125,2024,219,25.82,18.83,0.8,5.16
294,18.5,78.75,2024,219,25.74,19.08,0.86,9.87
295,18.5,79.375,2024,219,26.31,19.58,0.9,19.54
296,18.5,80.0,2024,219,26.41,20.04,0.96,35.01
297,19.0,73.75,2024,219,23.78,18.17,0.99,11.45
298,19.0,74.375,2024,219,24.19,17.5,0.89,2.57
299,19.0,75.0,2024,219,25.51,17.07,0.73,0.63
300,19.0,75.625,2024,219,26.02,17.05,0.71,1.35
301,19.0,76.25,2024,219,26.24,17.49,0.74,2.06
302,19.0,76.875,2024,219,26.37,18.17,0.81,2.59
303,19.0,77.5,2024,219,26.35,18.71,0.84,3.73
304,19.0,78.125,2024,219,26.01,19.0,0.88,4.0
305,19.0,78.75,2024,219,25.93,19.27,0.92,6.05
306,19.0,79.375,2024,219,26.37,19.75,0.97,10.36
307,19.0,80.0,2024,219,26.53,20.11,0.99,20.96
308,19.5,73.75,2024,219,23.9,18.23,0.99,9.47
309,19.5,74.375,2024,219,24.35,17.54,0.88,2.25
310,19.5,75.0,2024,219,25.63,17.26,0.74,0.33
311,19.5,75.625,2024,219,26.15,17.34,0.73,0.4
312,19.5,76.25,2024,219,26.36,17.76,0.79,0.61
313,19.5,76.875,2024,219,26.3,18.38,0.84,1.18
314,19.5,77.5,2024,219,26.14,18.77,0.86,2.38
315,19.5,78.125,2024,219,26.11,19.05,0.87,2.46
316,19.5,78.75,2024,219,26.05,19.37,0.92,3.53
317,19.5,79.375,2024,219,26.34,19.8,0.98,5.49
318,19.5,80.0,2024,219,26.47,20.09,0.99,12.42
319,20.0,73.75,2024,219,23.91,18.17,0.98,6.14
320,20.0,74.375,2024,219,24.82,17.6,0.86,1.54
321,20.0,75.0,2024,219,25.63,17.45,0.77,0.3
322,20.0,75.625,2024,219,25.54,17.58,0.8,0.35
323,20.0,76.25,2024,219,25.71,17.95,0.86,0.43
324,20.0,76.875,2024,219,25.92,18.56,0.9,0.64
325,20.0,77.5,2024,219,26.11,19.03,0.92,1.79
326,20.0,78.125,2024,219,26.51,19.37,0.9,1.55
327,20.0,78.75,2024,219,26.54,19.74,0.97,2.94
328,20.0,79.375,2024,219,26.67,20.03,0.99,4.2
329,20.0,80.0,2024,219,26.41,20.09,0.99,8.29
330,18.0,73.75,2024,220,23.72,18.11,1.0,10.89
331,18.0,74.375,2024,220,23.9,17.57,0.93,4.41
332,18.0,75.0,2024,220,25.23,17.4,0.76,5.61
333,18.0,75.625,2024,220,25.45,17.56,0.76,12.28
334,18.0,76.25,2024,220,24.95,17.62,0.79,15.88
335,18.0,76.875,2024,220,24.8,17.67,0.79,15.31
336,18.0,77.5,2024,220,24.84,17.91,0.79,15.33
337,18.0,78.125,2024,220,24.96,18.18,0.69,15.19
338,18.0,78.75,2024,220,24.9,18.42,0.73,13.94
339,18.0,79.375,2024,220,25.61,19.08,0.8,15.27
340,18.0,80.0,2024,220,25.58,19.58,0.93,24.13
341,18.5,73.75,2024,220,23.68,18.06,0.99,8.94
342,18.5,74.375,2024,220,24.4,17.71,0.9,3.05
343,18.5,75.0,2024,220,25.3,17.32,0.74,4.08
344,18.5,75.625,2024,220,25.19,17.3,0.73,9.11
345,18.5,76.25,2024,220,25.02,17.48,0.75,11.74
346,18.5,76.875,2024,220,25.24,17.82,0.79,12.39
347,18.5,77.5,2024,220,25.57,18.35,0.83,13.93
348,18.5,78.125,2024,220,25.52,18.68,0.8,14.11
349,18.5,78.75,2024,220,25.48,18.97,0.87,12.15
350,18.5,79.375,2024,220,26.0,19.49,0.91,13.8
351,18.5,80.0,2024,220,25.97,19.89,0.98,27.88
352,19.0,73.75,2024,220,23.93,18.27,0.99,7.22
353,19.0,74.375,2024,220,24.27,17.6,0.89,2.33
354,19.0,75.0,2024,220,25.44,17.22,0.73,3.11
355,19.0,75.625,2024,220,25.71,17.32,0.71,6.23
356,19.0,76.25,2024,220,25.78,17.69,0.74,7.45
357,19.0,76.875,2024,220,25.92,18.16,0.81,8.62
358,19.0,77.5,2024,220,25.97,18.63,0.84,10.61
359,19.0,78.125,2024,220,25.93,18.92,0.88,10.84
360,19.0,78.75,2024,220,25.93,19.23,0.92,8.99
361,19.0,79.375,2024,220,26.32,19.73,0.97,11.16
362,19.0,80.0,2024,220,26.43,20.1,1.0,27.65
363,19.5,73.75,2024,220,24.1,18.36,0.99,5.01
364,19.5,74.375,2024,220,24.5,17.65,0.87,1.57
365,19.5,75.0,2024,220,25.7,17.39,0.73,2.0
366,19.5,75.625,2024,220,26.06,17.58,0.73,3.78
367,19.5,76.25,2024,220,26.08,17.99,0.78,4.3
368,19.5,76.875,2024,220,25.91,18.39,0.84,5.14
369,19.5,77.5,2024,220,25.82,18.73,0.86,6.84
370,19.5,78.125,2024,220,26.06,19.03,0.87,6.82
371,19.5,78.75,2024,220,26.09,19.32,0.92,6.45
372,19.5,79.375,2024,220,26.38,19.74,0.98,9.74
373,19.5,80.0,2024,220,26.58,20.12,0.99,24.09
374,20.0,73.75,2024,220,24.04,18.27,0.98,2.67
375,20.0,74.375,2024,220,24.84,17.72,0.86,0.72
376,20.0,75.0,2024,220,25.61,17.53,0.76,0.8
377,20.0,75.625,2024,220,25.41,17.69,0.8,1.68
378,20.0,76.25,2024,220,25.44,18.01,0.85,2.1
379,20.0,76.875,2024,220,25.5,18.43,0.89,2.59
380,20.0,77.5,2024,220,25.71,18.86,0.92,4.68
381,20.0,78.125,2024,220,26.29,19.24,0.9,3.78
382,20.0,78.75,2024,220,26.39,19.59,0.97,6.26
383,20.0,79.375,2024,220,26.52,19.89,0.99,11.2
384,20.0,80.0,2024,220,26.46,20.13,0.99,22.77
385,18.0,73.75,2024,221,23.89,18.1,1.0,8.34
386,18.0,74.375,2024,221,24.3,17.55,0.92,2.96
387,18.0,75.0,2024,221,25.88,17.26,0.76,1.09
388,18.0,75.625,2024,221,26.27,17.29,0.76,1.09
389,18.0,76.25,2024,221,25.78,17.41,0.79,1.26
390,18.0,76.875,2024,221,25.62,17.49,0.79,1.23
391,18.0,77.5,2024,221,25.6,17.66,0.8,2.65
392,18.0,78.125,2024,221,25.64,17.91,0.7,2.49
393,18.0,78.75,2024,221,25.6,18.13,0.74,3.92
394,18.0,79.375,2024,221,26.51,18.82,0.8,5.05
395,18.0,80.0,2024,221,26.5,19.44,0.93,10.58
396,18.5,73.75,2024,221,23.82,18.0,0.99,7.59
397,18.5,74.375,2024,221,24.72,17.67,0.9,3.1
398,18.5,75.0,2024,221,25.82,17.17,0.74,1.37
399,18.5,75.625,2024,221,25.81,17.03,0.73,0.93
400,18.5,76.25,2024,221,25.45,17.24,0.76,1.03
401,18.5,76.875,2024,221,25.51,17.54,0.8,1.68
402,18.5,77.5,2024,221,25.9,18.06,0.85,3.09
403,18.5,78.125,2024,221,25.84,18.46,0.82,3.71
404,18.5,78.75,2024,221,25.85,18.76,0.88,4.35
405,18.5,79.375,2024,221,26.56,19.31,0.91,4.43
406,18.5,80.0,2024,221,26.58,19.8,0.98,7.72
407,19.0,73.75,2024,221,23.99,18.16,0.99,7.41
408,19.0,74.375,2024,221,24.43,17.56,0.88,3.78
409,19.0,75.0,2024,221,25.66,17.12,0.73,2.08
410,19.0,75.625,2024,221,26.0,17.09,0.71,1.19
411,19.0,76.25,2024,221,25.86,17.44,0.75,0.94
412,19.0,76.875,2024,221,25.84,17.9,0.81,1.81
413,19.0,77.5,2024,221,26.01,18.39,0.85,2.82
414,19.0,78.125,2024,221,26.01,18.73,0.89,3.52
415,19.0,78.75,2024,221,26.07,19.01,0.93,3.22
416,19.0,79.375,2024,221,26.52,19.52,0.97,3.06
417,19.0,80.0,2024,221,26.65,19.96,1.0,4.72
418,19.5,73.75,2024,221,23.96,18.16,0.98,6.78
419,19.5,74.375,2024,221,24.4,17.53,0.87,3.82
420,19.5,75.0,2024,221,25.59,17.29,0.73,2.34
421,19.5,75.625,2024,221,26.06,17.37,0.73,1.63
422,19.5,76.25,2024,221,26.08,17.72,0.78,1.18
423,19.5,76.875,2024,221,25.99,18.15,0.84,1.41
424,19.5,77.5,2024,221,25.9,18.5,0.86,1.98
425,19.5,78.125,2024,221,26.06,18.8,0.87,2.14
426,19.5,78.75,2024,221,26.04,19.1,0.92,1.9
427,19.5,79.375,2024,221,26.25,19.56,0.98,2.5
428,19.5,80.0,2024,221,26.41,19.93,0.99,4.32
429,20.0,73.75,2024,221,23.74,18.06,0.98,5.25
430,20.0,74.375,2024,221,24.49,17.57,0.85,3.01
431,20.0,75.0,2024,221,25.26,17.42,0.75,1.98
432,20.0,75.625,2024,221,25.25,17.5,0.79,1.94
433,20.0,76.25,2024,221,25.44,17.76,0.85,1.61
434,20.0,76.875,2024,221,25.67,18.22,0.89,1.05
435,20.0,77.5,2024,221,25.82,18.63,0.92,1.37
436,20.0,78.125,2024,221,26.3,19.01,0.9,1.1
437,20.0,78.75,2024,221,26.24,19.43,0.97,1.67
438,20.0,79.375,2024,221,26.29,19.79,0.99,3.57
439,20.0,80.0,2024,221,26.23,19.98,0.99,6.5
440,18.0,73.75,2024,222,24.04,18.21,0.99,10.55
441,18.0,74.375,2024,222,24.51,17.61,0.92,3.6
442,18.0,75.0,2024,222,26.21,17.26,0.76,0.82
443,18.0,75.625,2024,222,26.65,17.24,0.75,1.23
444,18.0,76.25,2024,222,26.13,17.43,0.78,1.6
445,18.0,76.875,2024,222,26.05,17.73,0.78,1.5
446,18.0,77.5,2024,222,26.09,17.95,0.79,1.44
447,18.0,78.125,2024,222,26.11,18.0,0.69,1.6
